name,address,city,state,zip_code,country,latitude,longitude,searched
KFC 2978 Ridgecrest Rd Ext,2978 Ridgecrest Rd Ext,Jackson,TN,38305,US,,,True
KFC 1030 Shumard Lane,1030 Shumard Lane,Knoxville,TN,37914,US,,,True
KFC 2918 N. Broadway Street,2918 N. Broadway Street,Knoxville,TN,37917,US,,,True
KFC 4549 Elvis Presley Highway,4549 Elvis Presley Highway,Memphis,TN,38116,US,,,True
KFC 1027 8th Ave. N,1027 8th Ave. N,Nashville,TN,37208,US,,,True
KFC 13435 US Hwy 183 North,13435 US Hwy 183 North,Austin,TX,78750,US,,,True
KFC 14824 N I H 35,14824 N I H 35,Austin,TX,78728,US,,,True
KFC 1907 E. Beltline Rd,1907 E. Beltline Rd,Carrollton,TX,75006,US,,,True
KFC 20320 FM 529 Road,20320 FM 529 Road,Cypress,TX,77429,US,,,True
KFC 301 East Highway 303,301 East Highway 303,Grand Prairie,TX,75051,US,,,True
KFC 1300 Gulfgate Center Mall,1300 Gulfgate Center Mall,Houston,TX,77087,US,,,True
KFC 14127 State Highway 249,14127 State Highway 249,Houston,TX,77086,US,,,True
KFC 5010 Aldine Mail Rd,5010 Aldine Mail Rd,Houston,TX,77039,US,,,True
KFC 3130 FM 1960 Rd. W,3130 FM 1960 Rd. W,Humble,TX,77338,US,,,True
KFC 6829 Atascocita Rd,6829 Atascocita Rd,Humble,TX,77346,US,,,True
KFC 9435 FM 1960 Road,9435 FM 1960 Road,Humble,TX,77338,US,,,True
KFC 2920 W. Eldorado Parkway,2920 W. Eldorado Parkway,McKinney,TX,75070,US,,,True
KFC 4727 N. Midkiff Drive,4727 N. Midkiff Drive,Midland,TX,79705,US,,,True
KFC 5890 Kingstowne Center,5890 Kingstowne Center,Alexandria,VA,22315,US,,,True
KFC 45960 Denizen Plaza Road,45960 Denizen Plaza Road,Sterling,VA,20165,US,,,True
"KFC 34506 16th Avenue, S","34506 16th Avenue, S",Federal Way,WA,98003,US,,,True
KFC 901 North Columbia Center Boulevard,901 North Columbia Center Boulevard,Kennewick,WA,99336,US,,,True
"KFC 8030 Martin Way, E","8030 Martin Way, E",Lacey,WA,98516,US,,,True
